airports
{name:TUS}
{name:LAX}
{name:SMF}
{name:ABQ}
{name:LAS}
{name:IAH}
{name:FAT}
{name:EWR}
{name:BOS}
{name:DEN}
{name:SEA}
{name:SFO}
{name:ORD}
{name:OKC}
{name:BZN}
{name:LGA}
{name:CMH}
{name:SJC}
{name:PHX}
{name:MEM}
{name:IAD}
{name:MCO}
{name:TPA}
{name:CRP}
{name:DFW}
{name:GRR}
{name:PIT}
{name:MSN}
{name:MFE}
{name:AUS}
{name:TUL}
{name:ORF}
{name:FLL}
{name:BWI}
{name:SGF}
{name:OMA}
{name:FAR}
{name:ROC}
{name:BDL}
{name:RNO}
{name:MSY}
{name:MIA}
{name:RSW}
{name:PDX}
{name:PSP}
